csf_function,csf_subcategory_id,csf_subcategory_name,question,evidence,notes,response
Protect,PR.AT-01,Awareness activities are provided,Does the organization conduct security awareness training for all personnel at least annually?,"Training completion records, training materials, attendance logs, onboarding checklists",SOC 2 CC2.2 — internal communication of security policies to personnel,
Protect,PR.AT-01,Awareness activities are provided,Are personnel made aware of acceptable use policies and their security responsibilities?,"Acceptable use policy, acknowledgment records, onboarding documentation",SOC 2 CC2.2 — internal communication of security responsibilities,
Protect,PR.AT-02,Individuals in specialized roles are provided with awareness and training,Do individuals with privileged access or security-sensitive roles receive role-specific security training?,"Role-specific training materials, completion records, certification records if applicable",SOC 2 CC1.4 — demonstrates commitment to competence for specialized roles,
Protect,PR.AT-02,Individuals in specialized roles are provided with awareness and training,Are security-sensitive role training requirements documented and reviewed at least annually?,"Training requirement documentation, role definitions, annual review records",SOC 2 CC1.4 — competence requirements for roles with security responsibilities,
Protect,PR.AA-05,Access permissions are defined in a policy and managed,Is there a documented policy governing physical access to facilities and sensitive areas?,"Physical access policy, facility security procedures, clean desk policy if applicable",SOC 2 CC6.4 — physical access restrictions for facilities,
Protect,PR.AA-05,Access permissions are defined in a policy and managed,Are physical access authorizations reviewed and updated when personnel change roles or leave?,"Access removal checklists, offboarding procedures, physical badge/key audit records",SOC 2 CC6.4 and CC6.5 — discontinuing physical access upon role change or termination,
Protect,PR.AA-06,Physical access to assets is managed monitored and enforced,Are physical access controls in place for server rooms or areas housing critical systems (e.g. locks, badges, keypads)?,"Physical access control system logs, badge reader configuration, lock documentation",SOC 2 CC6.4 — restricts physical access to critical systems,
Protect,PR.AA-06,Physical access to assets is managed monitored and enforced,Are physical access logs reviewed regularly to detect unauthorized or anomalous access?,"Access log review records, log retention policy, anomaly investigation documentation",SOC 2 CC6.4 — monitoring physical access for unauthorized entries,
Protect,PR.PS-01,Configuration management practices are established and applied,Is there a documented configuration management policy covering baseline configurations for systems and services?,"Configuration management policy, approved baseline configuration documents, configuration management tool output",SOC 2 CC8.1 — authorizes and configures changes to systems,
Protect,PR.PS-01,Configuration management practices are established and applied,Are system configuration changes reviewed and approved before implementation?,"Change request records, change approval workflow documentation, change advisory board or equivalent process",SOC 2 CC8.1 — authorizes changes through a defined approval process,
Protect,PR.PS-02,Software is maintained replaced and removed commensurate with risk,Is there a documented patch management process that defines patching timelines based on severity?,"Patch management policy, patching SLA documentation, patch deployment records",SOC 2 CC8.1 — applies risk-based maintenance to software,
